stages,map,team,player_name,player_steamid,side,Kills,Assists,Deaths,Smokes Thrown,Molotovs Thrown,Grenades,Headshots,Rounds Played,Headshot %
Final,Overpass,FaZe Clan,broky,76561198201620490,Counter Terrorist,4.0,3.0,9.0,6.0,2.0,2.0,0.0,12.0,0.0
Final,Overpass,FaZe Clan,broky,76561198201620490,Terrorist,2.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,100.0
Final,Overpass,FaZe Clan,broky,76561198201620490,Both,6.0,6.0,11.0,7.0,2.0,2.0,2.0,15.0,33.33
Final,Overpass,FaZe Clan,frozen,76561198068422762,Counter Terrorist,7.0,2.0,9.0,6.0,8.0,2.0,5.0,12.0,71.43
Final,Overpass,FaZe Clan,frozen,76561198068422762,Terrorist,5.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,40.0
Final,Overpass,FaZe Clan,frozen,76561198068422762,Both,12.0,2.0,11.0,6.0,9.0,2.0,7.0,15.0,58.33
Final,Overpass,FaZe Clan,jcobbb,76561198178737429,Counter Terrorist,3.0,2.0,12.0,6.0,10.0,2.0,2.0,12.0,66.67
Final,Overpass,FaZe Clan,jcobbb,76561198178737429,Terrorist,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,100.0
Final,Overpass,FaZe Clan,jcobbb,76561198178737429,Both,4.0,4.0,15.0,7.0,10.0,2.0,3.0,15.0,75.0
Final,Overpass,FaZe Clan,karrigan,76561197989430253,Counter Terrorist,6.0,0.0,10.0,7.0,5.0,4.0,2.0,12.0,33.33
Final,Overpass,FaZe Clan,karrigan,76561197989430253,Terrorist,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
Final,Overpass,FaZe Clan,karrigan,76561197989430253,Both,6.0,1.0,12.0,7.0,5.0,4.0,2.0,15.0,33.33
Final,Overpass,Team Vitality,ZywOo,76561198113666193,Counter Terrorist,4.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,50.0
Final,Overpass,Team Vitality,ZywOo,76561198113666193,Terrorist,10.0,5.0,4.0,6.0,3.0,2.0,7.0,12.0,70.0
Final,Overpass,Team Vitality,ZywOo,76561198113666193,Both,14.0,5.0,6.0,7.0,3.0,2.0,9.0,15.0,64.29
Final,Overpass,Team Vitality,apEX,76561197989744167,Counter Terrorist,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,50.0
Final,Overpass,Team Vitality,apEX,76561197989744167,Terrorist,9.0,6.0,6.0,6.0,10.0,4.0,4.0,12.0,44.44
